CODREG,REG,CODDEP,CODARR,CODCAN,CODCOM,COM,PMUN,PCAP,PTOT
84,Auvergne-Rhône-Alpes,1,1,01,4,Ambérieu-en-Bugey,14134,380,14514
84,Auvergne-Rhône-Alpes,1,4,03,33,Valserhône,16378,350,16728
84,Auvergne-Rhône-Alpes,1,2,99,53,Bourg-en-Bresse,41111,1742,42853
84,Auvergne-Rhône-Alpes,1,3,09,143,Divonne-les-Bains,9951,239,10190
84,Auvergne-Rhône-Alpes,1,3,19,160,Ferney-Voltaire,10026,163,10189
84,Auvergne-Rhône-Alpes,1,3,09,173,Gex,13121,270,13391
84,Auvergne-Rhône-Alpes,1,2,13,249,Miribel,10122,151,10273
84,Auvergne-Rhône-Alpes,1,4,15,283,Oyonnax,22456,479,22935
84,Auvergne-Rhône-Alpes,1,3,19,354,Saint-Genis-Pouilly,13943,200,14143
32,Hauts-de-France,2,1,02,168,Château-Thierry,15254,362,15616
32,Hauts-de-France,2,2,03,173,Chauny,11653,419,12072
32,Hauts-de-France,2,2,97,408,Laon,24304,666,24970
32,Hauts-de-France,2,3,98,691,Saint-Quentin,53570,1281,54851
32,Hauts-de-France,2,4,99,722,Soissons,28712,651,29363
32,Hauts-de-France,2,2,18,738,Tergnier,13588,200,13788
32,Hauts-de-France,2,4,21,810,Villers-Cotterêts,10424,417,10841
84,Auvergne-Rhône-Alpes,3,3,04,95,Cusset,12474,481,12955
84,Auvergne-Rhône-Alpes,3,1,97,185,Montluçon,34361,1070,35431
84,Auvergne-Rhône-Alpes,3,2,98,190,Moulins,19246,542,19788
84,Auvergne-Rhône-Alpes,3,3,99,310,Vichy,24980,322,25302
84,Auvergne-Rhône-Alpes,3,2,19,321,Yzeure,12838,517,13355
93,Provence-Alpes-Côte d'Azur,4,3,98,70,Digne-les-Bains,16482,922,17404
93,Provence-Alpes-Côte d'Azur,4,4,99,112,Manosque,22528,669,23197
93,Provence-Alpes-Côte d'Azur,5,1,98,23,Briançon,11339,320,11659
93,Provence-Alpes-Côte d'Azur,5,2,99,61,Gap,40631,1545,42176
93,Provence-Alpes-Côte d'Azur,6,1,94,4,Antibes,73438,1085,74523
93,Provence-Alpes-Côte d'Azur,6,2,04,12,Beausoleil,13358,130,13488
93,Provence-Alpes-Côte d'Azur,6,1,03,18,Biot,9668,351,10019
93,Provence-Alpes-Côte d'Azur,6,1,95,27,Cagnes-sur-Mer,52178,491,52669
